X,Y,Z
-3386.8309971825583,-313.32018950623717,0.0
-3386.8209992142633,-313.32039107298283,0.0
-3386.8110013097976,-313.3205957812393,0.0
-3386.8010034701483,-313.32080363098646,0.0
-3386.5774106450913,-312.8445577171044,0.0
-3386.6254738661137,-312.9503529158418,0.0
-3386.6782479743756,-313.1465991031412,0.0
-3386.71396680602,-313.24839553701054,0.0
-3386.6473526572227,-313.01609736715176,0.0
-3386.6254738661137,-312.9503529158418,0.0
-3386.792913736354,-313.3207455216456,0.0
-3388.362290834637,-312.835934003628,0.0
-3388.3676250788226,-312.8274786788554,0.0
-3388.3736179672205,-312.81947668118636,0.0
-3388.380231165796,-312.8119791960983,0.0
-3388.387422372646,-312.80503418191,0.0
-3388.395145588589,-312.7986860630114,0.0
-3388.403351411397,-312.79297544569994,0.0
-3388.4119873518093,-312.78793885843845,0.0
-3388.420998169277,-312.78360851819735,0.0
-3388.4303262253197,-312.7800121243766,0.0
-3388.4399118522106,-312.77717268162337,0.0
-3388.4496937346503,-312.7751083526815,0.0
-3388.4596093019727,-312.77383234221156,0.0
-3388.4695951283843,-312.7733528123259,0.0
-3388.31186646178,-312.94474992824536,0.0
-3388.315581376539,-312.93546560747984,0.0
-3388.319386866859,-312.9262180430888,0.0
-3388.3232825691243,-312.91700811868066,0.0
-3388.327268111099,-312.90783671426743,0.0
-3388.3313431119627,-312.8987047061803,0.0
-3388.3355071823476,-312.8896129669863,0.0
-3388.339759924376,-312.8805623654047,0.0
-3388.344100931695,-312.87155376622405,0.0
-3388.3485297895204,-312.8625880302196,0.0
-3388.3530460746733,-312.8536660140709,0.0
-3388.290362596977,-313.00738957872215,0.0
-3388.293313380548,-312.9978349019869,0.0
-3388.296370142864,-312.98831360084984,0.0
-3388.299532506551,-312.97882685076837,0.0
-3388.3028000811973,-312.96937582293396,0.0
-3388.306172463404,-312.9599616841283,0.0
-3388.290362596977,-313.00738957872215,0.0
-3388.293313380548,-312.9978349019869,0.0
-3388.296370142864,-312.98831360084984,0.0
-3388.299532506551,-312.97882685076837,0.0
-3388.3028000811973,-312.96937582293396,0.0
-3388.306172463404,-312.9599616841283,0.0
-3388.2849468401764,-313.0259395811117,0.0
-3388.2822817570477,-313.03557794016643,0.0
-3388.2797703191177,-313.0452572194071,0.0
-3388.277461593866,-313.05498702341265,0.0
-3388.275248044379,-313.06473896757404,0.0
-3388.2730845012734,-313.07450224349316,0.0
-3388.2709535411923,-313.08427283870236,0.0
-3388.2688463271434,-313.0940487922453,0.0
-3388.266767007197,-313.10383063319586,0.0
-3388.2647443813626,-313.1136237988589,0.0
-3388.2626852989815,-313.1234094135109,0.0
-3388.2604396266,-313.13315337115216,0.0
-3388.257927775852,-313.14283180273446,0.0
-3388.254021303456,-313.156432568783,0.0
-3388.2511242554287,-313.16600367490514,0.0
-3388.248120450726,-313.17554181502663,0.0
-3388.2450102643384,-313.18504579841795,0.0
-3388.241794084537,-313.1945144386137,0.0
-3388.2384723128266,-313.20394655356074,0.0
-3388.2350453638924,-313.21334096576555,0.0
-3388.2315136655507,-313.22269650244147,0.0
-3388.227877658694,-313.232011995655,0.0
-3388.2241377972377,-313.2412862824716,0.0
-3388.216531302211,-313.257524844689,0.0
-3388.2116455920086,-313.26624933183035,0.0
-3388.206394619769,-313.27475870351924,0.0
-3388.2007305333873,-313.28299843874197,0.0
-3388.194596796804,-313.2908943059502,0.0
-3388.187928069275,-313.29834268701535,0.0
-3388.1806517643954,-313.30519690888315,0.0
-3388.172696369755,-313.3112462646905,0.0
-3388.1640142383867,-313.3161893290176,0.0
-3388.1546340561126,-313.3196120068547,0.0
-3387.96408742481,-313.3176987450411,0.0
-3387.9740861826476,-313.3178563549442,0.0
-3387.9840848904682,-313.3180171066084,0.0
-3387.994083547284,-313.31818100001783,0.0
-3388.004082152109,-313.3183480351563,0.0
-3388.0140807039547,-313.31851821200746,0.0
-3388.024079201835,-313.31869153055436,0.0
-3388.034077644762,-313.3188679907799,0.0
-3388.044076031749,-313.31904759266666,0.0
-3388.0540743618085,-313.31923033619694,0.0
-3388.0640726339534,-313.31941622135275,0.0
-3388.074070847197,-313.3196052481156,0.0
-3388.084069000551,-313.319797416467,0.0
-3388.09406709303,-313.31999272638774,0.0
-3388.1040651236453,-313.32019117785876,0.0
-3388.114063091411,-313.32039277086045,0.0
-3388.1240609953393,-313.32059750537275,0.0
-3388.134058834443,-313.3208053813755,0.0
-3388.357652910183,-312.84456005467916,0.0
-3388.3095894113285,-312.9503551271959,0.0
-3388.2568147876987,-313.14660117590284,0.0
-3388.221095688724,-313.24839751596954,0.0
-3388.2877104475665,-313.01609952104906,0.0
-3388.3095894113285,-312.9503551271959,0.0
-3388.1421485683895,-313.32074729327934,0.0
-3387.577828650337,-312.82373168939614,0.0
-3387.572759968485,-312.8151145470433,0.0
-3387.5670188614727,-312.80693002700156,0.0
-3387.5606420527915,-312.79923048226857,0.0
-3387.5536703322573,-312.7920651636553,0.0
-3387.5461482950886,-312.78547990474834,0.0
-3387.5381240566535,-312.77951682873174,0.0
-3387.5296489446946,-312.77421407894246,0.0
-3387.520777171006,-312.769605574883,0.0
-3387.5115654846636,-312.7657207952523,0.0
-3387.5020728090253,-312.76258458938275,0.0
-3387.492359864819,-312.7602170182893,0.0
-3387.4824887817404,-312.75863322634734,0.0
-3387.472522701038,-312.75784334442056,0.0
-3387.624844182018,-312.93406329234415,0.0
-3387.62141983,-312.9246679202388,0.0
-3387.617903803026,-312.91530646959995,0.0
-3387.6142964370547,-312.905979834918,0.0
-3387.6105980767707,-312.89668890735663,0.0
-3387.606809075554,-312.8874345746674,0.0
-3387.6029297954447,-312.87821772110567,0.0
-3387.59896060711,-312.8690392273454,0.0
-3387.5949018898077,-312.8598999703952,0.0
-3387.590754031349,-312.85080082351476,0.0
-3387.586517428065,-312.84174265613115,0.0
-3387.644389394342,-312.99734146147483,0.0
-3387.641737212568,-312.9876996305782,0.0
-3387.6389780652585,-312.9780878629303,0.0
-3387.636112293043,-312.96850734515675,0.0
-3387.6331402497194,-312.9589592600254,0.0
-3387.6300623022003,-312.94944478630015,0.0
-3387.644389394342,-312.99734146147483,0.0
-3387.641737212568,-312.9876996305782,0.0
-3387.6389780652585,-312.9780878629303,0.0
-3387.636112293043,-312.96850734515675,0.0
-3387.6331402497194,-312.9589592600254,0.0
-3387.6300623022003,-312.94944478630015,0.0
-3387.649225579792,-313.0160509328909,0.0
-3387.6515895966163,-313.02576751962715,0.0
-3387.6537987698566,-313.03552022800443,0.0
-3387.6558037570444,-313.04531713183417,0.0
-3387.6577129259003,-313.0551332049054,0.0
-3387.6595717601213,-313.06495904892927,0.0
-3387.6613977994334,-313.0747911952891,0.0
-3387.663199937544,-313.08462795882946,0.0
-3387.6649740119346,-313.0944697393533,0.0
-3387.6666910674153,-313.1043210757828,0.0
-3387.6684447966595,-313.1141659987438,0.0
-3387.6703863212683,-313.1239750882607,0.0
-3387.6725959334917,-313.13372696222933,0.0
-3387.676077498287,-313.1474426492429,0.0
-3387.6786754595196,-313.1570992302689,0.0
-3387.681381151103,-313.1667261816412,0.0
-3387.6841942352635,-313.17632230154334,0.0
-3387.687114360819,-313.18588639200766,0.0
-3387.690141163225,-313.1954172590651,0.0
-3387.693274264618,-313.2049137128942,0.0
-3387.696513273868,-313.2143745679695,0.0
-3387.6998577866184,-313.2237986432096,0.0
-3387.703307385346,-313.23318476212484,0.0
-3387.7104051406823,-313.24965204904953,0.0
-3387.7150171339317,-313.258524273028,0.0
-3387.720000903131,-313.2671928461846,0.0
-3387.7254059729726,-313.2756047622023,0.0
-3387.7312911609497,-313.28368758385795,0.0
-3387.7377249989763,-313.2913397754131,0.0
-3387.744784600237,-313.29841699239154,0.0
-3387.7525479960505,-313.3047108540836,0.0
-3387.761072185415,-313.3099215628385,0.0
-3387.770341375769,-313.3136343317846,0.0
-3387.96085532793,-313.3176484697537,0.0
-3387.9508565054252,-313.31749501716826,0.0
-3387.9408576351966,-313.3173447063796,0.0
-3387.9308587182322,-313.3171975374026,0.0
-3387.920859755518,-313.3170535102517,0.0
-3387.910860748042,-313.3169126249412,0.0
-3387.900861696791,-313.31677488148506,0.0
-3387.890862602753,-313.3166402798968,0.0
-3387.8808634669135,-313.3165088201897,0.0
-3387.870864290262,-313.3163805023768,0.0
-3387.860865073784,-313.31625532647075,0.0
-3387.850865818467,-313.3161332924838,0.0
-3387.8408665253,-313.31601440042823,0.0
-3387.8308671952677,-313.3158986503156,0.0
-3387.820867829359,-313.31578604215736,0.0
-3387.8108684285603,-313.31567657596463,0.0
-3387.8008689938597,-313.3155702517483,0.0
-3387.790869526244,-313.3154670695187,0.0
-3387.582196039324,-312.83249781815476,0.0
-3387.6269457952058,-312.93973660143513,0.0
-3387.673591146301,-313.137529128477,0.0
-3387.706126845041,-313.2403871723532,0.0
-3387.646769359775,-313.0061296783799,0.0
-3387.6269457952058,-312.93973660143513,0.0
-3387.7827855127894,-313.31515739867956,0.0
-3389.3664810470164,-312.8793878041844,0.0
-3389.372075670369,-312.8711024636616,0.0
-3389.3783145209263,-312.8632907147043,0.0
-3389.385157691334,-312.85600252584743,0.0
-3389.392561408655,-312.849284516628,0.0
-3389.4004783143646,-312.8431796593791,0.0
-3389.4088577672833,-312.8377270043535,0.0
-3389.417646167508,-312.8329614299358,0.0
-3389.426787299269,-312.82891341953916,0.0
-3389.436222690518,-312.82560886661594,0.0
-3389.44589198695,-312.8230689090275,0.0
-3389.455733338066,-312.82130979383476,0.0
-3389.465683792803,-312.82034277337175,0.0
-3389.475679702207,-312.82017403326927,0.0
-3389.3126969050527,-312.98658290156123,0.0
-3389.316698763939,-312.97741860512343,0.0
-3389.320790011455,-312.96829386416783,0.0
-3389.3249702566804,-312.9592095505671,0.0
-3389.329239100192,-312.9501665323311,0.0
-3389.3335961340995,-312.9411656735236,0.0
-3389.3380409420865,-312.9322078341803,0.0
-3389.3425730994504,-312.9232938702263,0.0
-3389.347192173141,-312.91442463339433,0.0
-3389.3518977218046,-312.90560097114354,0.0
-3389.3566892958243,-312.89682372657825,0.0
-3389.2892553575475,-313.0485234848962,0.0
-3389.292501862903,-313.0390651988899,0.0
-3389.2958532577622,-313.02964356826186,0.0
-3389.2993091283793,-313.0202597561645,0.0
-3389.302869048106,-313.01091492108105,0.0
-3389.3065325774514,-313.00161021668316,0.0
-3389.2892553575475,-313.0485234848962,0.0
-3389.292501862903,-313.0390651988899,0.0
-3389.2958532577622,-313.02964356826186,0.0
-3389.2993091283793,-313.0202597561645,0.0
-3389.302869048106,-313.01091492108105,0.0
-3389.3065325774514,-313.00161021668316,0.0
-3389.283265317925,-313.0668960850305,0.0
-3389.2803017723054,-313.0764468981221,0.0
-3389.2774905249507,-313.08604338995025,0.0
-3389.274880320906,-313.09569668643996,0.0
-3389.2723645580318,-313.1053750723291,0.0
-3389.2698984249337,-313.1150663396861,0.0
-3389.2674646314704,-313.1247659361204,0.0
-3389.2650544059097,-313.1344716267948,0.0
-3389.2626718778606,-313.1441840695318,0.0
-3389.260345664303,-313.15390959468226,0.0
-3389.2579832466686,-313.1636264386807,0.0
-3389.2554356248183,-313.17329584289536,0.0
-3389.252623991207,-313.18289147463656,0.0
-3389.2482964264905,-313.19636417100025,0.0
-3389.2451031197347,-313.20584054961427,0.0
-3389.2418041331816,-313.215280658056,0.0
-3389.2383998786713,-313.22468331783386,0.0
-3389.234890781187,-313.23404735513185,0.0
-3389.2312772788005,-313.2433716009552,0.0
-3389.2275598226165,-313.2526548912766,0.0
-3389.223738876718,-313.26189606718174,0.0
-3389.2198149181067,-313.2710939750138,0.0
-3389.2157884366447,-313.28024746651744,0.0
-3389.207680603966,-313.29624161290707,0.0
-3389.2025259267198,-313.3048099349451,0.0
-3389.1970128541807,-313.31315188598677,0.0
-3389.191095252987,-313.3212114831973,0.0
-3389.1847189230184,-313.3289127726718,0.0
-3389.1778217776455,-313.3361501543155,0.0
-3389.1703358270875,-313.3427747685952,0.0
-3389.1621961464803,-313.3485737865444,0.0
-3389.1533644861925,-313.35324444673404,0.0
-3389.1438823964695,-313.35637374658444,0.0
-3388.953487438125,-313.34853543625997,0.0
-3388.9634764577404,-313.34900392991597,0.0
-3388.9734653296546,-313.34947556225785,0.0
-3388.9834540528805,-313.349950333239,0.0
-3388.9934426264335,-313.3504282428126,0.0
-3389.0034310493256,-313.35090929093144,0.0
-3389.0134193205727,-313.3513934775481,0.0
-3389.023407439187,-313.35188080261463,0.0
-3389.033395404183,-313.352371266083,0.0
-3389.043383214575,-313.3528648679048,0.0
-3389.053370869376,-313.3533616080313,0.0
-3389.0633583676004,-313.3538614864134,0.0
-3389.0733457082615,-313.35436450300176,0.0
-3389.0833328903745,-313.35487065774674,0.0
-3389.0933199129518,-313.3553799505984,0.0
-3389.1033067750086,-313.3558923815064,0.0
-3389.1132934755587,-313.3564079504202,0.0
-3389.1232800136154,-313.3569266572888,0.0
-3389.3615770970086,-312.88786544385016,0.0
-3389.3102466351356,-312.9921145732223,0.0
-3389.25139431444,-313.18662441071416,0.0
-3389.21252664127,-313.28726065103007,0.0
-3389.286333613022,-313.05714673258836,0.0
-3389.3102466351356,-312.9921145732223,0.0
-3389.1313676409463,-313.35712018690236,0.0
-3388.5827778112575,-312.8427947265403,0.0
-3388.577979573158,-312.83402411714445,0.0
-3388.572495780666,-312.8256650084626,0.0
-3388.5663615113413,-312.81777087026404,0.0
-3388.559616003574,-312.81039219809384,0.0
-3388.5523024055924,-312.80357619027325,0.0
-3388.5444674994665,-312.797366445992,0.0
-3388.5361614018575,-312.79180268642205,0.0
-3388.5274372434446,-312.7869205006378,0.0
-3388.5183508290693,-312.7827511179673,0.0
-3388.5089602807766,-312.7793212082311,0.0
-3388.499325666028,-312.7766527111467,0.0
-3388.489508613479,-312.7747626959887,0.0
-3388.4795719187655,-312.7736632524046,0.0
-3388.626339303038,-312.9545351366981,0.0
-3388.623208802218,-312.94503781242446,0.0
-3388.619985615834,-312.93557154213045,0.0
-3388.616670051864,-312.926137230322,0.0
-3388.6132624271095,-312.91673577845137,0.0
-3388.6097630671716,-312.90736808483075,0.0
-3388.6061723064154,-312.8980350445472,0.0
-3388.602490487939,-312.88873754937634,0.0
-3388.5987179635426,-312.8794764876975,0.0
-3388.5948550936914,-312.87025274440873,0.0
-3388.5909022474852,-312.86106720084246,0.0
-3388.643907118652,-313.0183905504692,0.0
-3388.6415560793985,-313.00867090100905,0.0
-3388.639097191387,-312.99897797364196,0.0
-3388.63653075818,-312.98931296501337,0.0
-3388.6338570966186,-312.9796770683218,0.0
-3388.6310765367793,-312.970071473172,0.0
-3388.643907118652,-313.0183905504692,0.0
-3388.6415560793985,-313.00867090100905,0.0
-3388.639097191387,-312.99897797364196,0.0
-3388.63653075818,-312.98931296501337,0.0
-3388.6338570966186,-312.9796770683218,0.0
-3388.6310765367793,-312.970071473172,0.0
-3388.6481591027696,-313.03724137648396,0.0
-3388.6502197915675,-313.04702678373286,0.0
-3388.6521245883046,-313.05684347953587,0.0
-3388.6538239232846,-313.06669799925515,0.0
-3388.655426890121,-313.07656869900643,0.0
-3388.656979242795,-313.08644759958383,0.0
-3388.6584986204225,-313.09633177953145,0.0
-3388.6599939648154,-313.1062198311022,0.0
-3388.661461103036,-313.1161120244517,0.0
-3388.6628709527404,-313.1260119958043,0.0
-3388.6643176579264,-313.13590669733964,0.0
-3388.665953182053,-313.14577142317415,0.0
-3388.6678584435103,-313.1555872986245,0.0
-3388.670911768234,-313.16940462730304,0.0
-3388.6732081544465,-313.1791373335063,0.0
-3388.675613140377,-313.1888437747873,0.0
-3388.678126425792,-313.19852273940626,0.0
-3388.6807476969348,-313.2081730190532,0.0
-3388.68347662657,-313.21779340899946,0.0
-3388.6863128740206,-313.22738270824755,0.0
-3388.6892560852143,-313.23693971968123,0.0
-3388.6923058927227,-313.24646325021513,0.0
-3388.6954619158128,-313.2559521109438,0.0
-3388.702044107484,-313.27263217156354,0.0
-3388.7063779448868,-313.28164353624504,0.0
-3388.711089711918,-313.290462910795,0.0
-3388.7162305578017,-313.2990388547476,0.0
-3388.7218615243687,-313.3073007951348,0.0
-3388.72805426813,-313.3151493766659,0.0
-3388.7348903540637,-313.32244272289597,0.0
-3388.7424542563535,-313.32897498067626,0.0
-3388.750812270092,-313.3344482700342,0.0
-3388.7599615101717,-313.3384475135917,0.0
-3388.9502584682227,-313.3483846675238,0.0
-3388.9402692546796,-313.34792032716337,0.0
-3388.930279895726,-313.34745912559566,0.0
-3388.92029039235,-313.34700106286647,0.0
-3388.9103007455356,-313.3465461390208,0.0
-3388.9003109562705,-313.34609435410374,0.0
-3388.89032102554,-313.3456457081598,0.0
-3388.8803309543314,-313.34520020123324,0.0
-3388.87034074363,-313.3447578333682,0.0
-3388.8603503944237,-313.3443186046082,0.0
-3388.850359907697,-313.34388251499666,0.0
-3388.840369284437,-313.3434495645766,0.0
-3388.830378525632,-313.3430197533909,0.0
-3388.8203876322655,-313.3425930814818,0.0
-3388.8103966053254,-313.3421695488916,0.0
-3388.8004054457974,-313.341749155662,0.0
-3388.7904141546687,-313.34133190183456,0.0
-3388.7804227329257,-313.34091778745045,0.0
-3388.5868704622644,-312.8516924401633,0.0
-3388.628263460507,-312.96027106138973,0.0
-3388.668734928071,-313.1594185766783,0.0
-3388.6980560177194,-313.263238722047,0.0
-3388.6460126205184,-313.0272485329553,0.0
-3388.628263460507,-312.96027106138973,0.0
-3388.772352260572,-313.3403568546996,0.0
-3390.368834107595,-312.9540507626656,0.0
-3390.3746836976784,-312.9459434219245,0.0
-3390.3811624747095,-312.9383294790415,0.0
-3390.388228996624,-312.93125763726783,0.0
-3390.395838061798,-312.9247731322574,0.0
-3390.403940998179,-312.91891744271317,0.0
-3390.4124859746285,-312.91372802506504,0.0
-3390.4214183324566,-312.9092380738767,0.0
-3390.430680935056,-312.90547630951306,0.0
-3390.44021453338,-312.9024667944289,0.0
-3390.449958144933,-312.90022877925026,0.0
-3390.4598494438533,-312.89877657963694,0.0
-3390.4698251595823,-312.89811948471066,0.0
-3390.479821481582,-312.8982616976365,0.0
-3390.311742229209,-313.05952132846824,0.0
-3390.3160271606816,-313.0504859222231,0.0
-3390.3204002073758,-313.04149283230055,0.0
-3390.3248609514444,-313.03254291799396,0.0
-3390.3294089666624,-313.0236370344713,0.0
-3390.3340438184646,-313.01477603269296,0.0
-3390.3387650639893,-313.0059607593314,0.0
-3390.34357225212,-312.9971920566894,0.0
-3390.3484649235265,-312.98847076261995,0.0
-3390.3534426107135,-312.9797977104462,0.0
-3390.358504838061,-312.9711737288816,0.0
-3390.2863856771846,-313.1207029211474,0.0
-3390.2899247635396,-313.11135017615095,0.0
-3390.293567548685,-313.10203733085103,0.0
-3390.2973135828997,-313.09276553496994,0.0
-3390.3011624037144,-313.0835359331619,0.0
-3390.3051135359715,-313.0743496648724,0.0
-3390.2863856771846,-313.1207029211474,0.0
-3390.2899247635396,-313.11135017615095,0.0
-3390.293567548685,-313.10203733085103,0.0
-3390.2973135828997,-313.09276553496994,0.0
-3390.3011624037144,-313.0835359331619,0.0
-3390.3051135359715,-313.0743496648724,0.0
-3390.2798271497163,-313.13888034472245,0.0
-3390.2765680086445,-313.148334372056,0.0
-3390.273459671566,-313.15783879248556,0.0
-3390.270550513932,-313.16740624251855,0.0
-3390.2677349715086,-313.17700170692217,0.0
-3390.264968634243,-313.18661159004193,0.0
-3390.2622343619355,-313.19623080396815,0.0
-3390.2595234566,-313.20585684214507,0.0
-3390.256840025391,-313.2154904905073,0.0
-3390.254212474571,-313.2251389663278,0.0
-3390.25154900717,-313.23477763925376,0.0
-3390.24870190051,-313.2443631355177,0.0
-3390.2455932041103,-313.2538666842638,0.0
